GeneID,Source
DDB_G0274839,Predicted
DDB_G0293968,Predicted
DDB_G0274419,Predicted
DDB_G0293096,Predicted
DDB_G0269076,Predicted
DDB_G0286101,Predicted
DDB_G0285089,Predicted
DDB_G0271026,Predicted
DDB_G0277251,Predicted
DDB_G0274753,Predicted
DDB_G0267228,Predicted
DDB_G0267798,Predicted
DDB_G0292260,Predicted
DDB_G0270274,Predicted
DDB_G0271576,Predicted
DDB_G0294206,Predicted
DDB_G0294282,Predicted
DDB_G0270852,Predicted
DDB_G0294587,Predicted
DDB_G0268524,Predicted
DDB_G0268710,Predicted
DDB_G0294346,Predicted
DDB_G0289805,Predicted
DDB_G0294228,Predicted
DDB_G0279653,Predicted
DDB_G0267178,Predicted
DDB_G0294300,Predicted
DDB_G0267274,Predicted
DDB_G0267334,Predicted
DDB_G0294144,Predicted
DDB_G0286377,Predicted
DDB_G0270822,Predicted
DDB_G0294340,Predicted
DDB_G0272400,Predicted
DDB_G0294242,Predicted
DDB_G0281297,Predicted
DDB_G0294344,Predicted
DDB_G0269258,Predicted
DDB_G0294360,Predicted
DDB_G0268508,Predicted
DDB_G0278803,Predicted
DDB_G0294210,Predicted
DDB_G0285307,Predicted
DDB_G0293158,Predicted
DDB_G0276211,Predicted
DDB_G0267190,Predicted
DDB_G0267298,Predicted
DDB_G0267302,Predicted
DDB_G0267348,Predicted
DDB_G0267202,Predicted
DDB_G0267278,Predicted
DDB_G0268982,Predicted
DDB_G0268440,Predicted
DDB_G0268128,Predicted
DDB_G0268596,Predicted
DDB_G0268598,Predicted
DDB_G0268464,Predicted
DDB_G0268608,Predicted
DDB_G0268610,Predicted
DDB_G0269036,Predicted
DDB_G0268942,Predicted
DDB_G0268944,Predicted
DDB_G0269064,Predicted
DDB_G0268724,Predicted
DDB_G0268978,Predicted
DDB_G0268980,Predicted
DDB_G0268770,Predicted
DDB_G0268772,Predicted
DDB_G0268984,Predicted
DDB_G0269080,Predicted
DDB_G0270460,Predicted
DDB_G0271004,Predicted
DDB_G0268510,Predicted
DDB_G0268340,Predicted
DDB_G0270968,Predicted
DDB_G0270770,Predicted
DDB_G0270790,Predicted
DDB_G0270792,Predicted
DDB_G0271076,Predicted
DDB_G0267372,Predicted
DDB_G0268474,Predicted
DDB_G0268606,Predicted
DDB_G0268470,Predicted
DDB_G0269056,Predicted
DDB_G0269058,Predicted
DDB_G0269094,Predicted
DDB_G0270840,Predicted
DDB_G0270462,Predicted
DDB_G0270464,Predicted
DDB_G0270842,Predicted
DDB_G0270502,Predicted
DDB_G0270504,Predicted
DDB_G0270860,Predicted
DDB_G0270862,Predicted
DDB_G0270532,Predicted
DDB_G0270536,Predicted
DDB_G0270896,Predicted
DDB_G0269662,Predicted
DDB_G0269792,Predicted
DDB_G0270952,Predicted
DDB_G0270954,Predicted
DDB_G0270638,Predicted
DDB_G0271018,Predicted
DDB_G0271020,Predicted
DDB_G0270064,Predicted
DDB_G0267780,Predicted
DDB_G0268580,Predicted
DDB_G0268722,Predicted
DDB_G0269264,Predicted
DDB_G0269266,Predicted
DDB_G0269542,Predicted
DDB_G0270886,Predicted
DDB_G0270648,Predicted
DDB_G0269956,Predicted
DDB_G0269268,Predicted
DDB_G0270888,Predicted
DDB_G0267778,Predicted
DDB_G0268582,Predicted
DDB_G0277783,Predicted
DDB_G0277821,Predicted
DDB_G0272841,Predicted
DDB_G0273339,Predicted
DDB_G0273379,Predicted
DDB_G0271172,Predicted
DDB_G0271154,Predicted
DDB_G0273309,Predicted
DDB_G0273463,Predicted
DDB_G0273649,Predicted
DDB_G0276727,Predicted
DDB_G0271112,Predicted
DDB_G0271448,Predicted
DDB_G0271450,Predicted
DDB_G0271954,Predicted
DDB_G0272268,Predicted
DDB_G0272270,Predicted
DDB_G0273263,Predicted
DDB_G0273901,Predicted
DDB_G0274719,Predicted
DDB_G0274717,Predicted
DDB_G0274673,Predicted
DDB_G0275221,Predicted
DDB_G0275219,Predicted
DDB_G0275217,Predicted
DDB_G0275945,Predicted
DDB_G0275947,Predicted
DDB_G0276979,Predicted
DDB_G0276117,Predicted
DDB_G0271116,Predicted
DDB_G0271452,Predicted
DDB_G0271454,Predicted
DDB_G0272408,Predicted
DDB_G0272448,Predicted
DDB_G0272290,Predicted
DDB_G0276171,Predicted
DDB_G0276249,Predicted
DDB_G0276323,Predicted
DDB_G0276313,Predicted
DDB_G0276329,Predicted
DDB_G0276387,Predicted
DDB_G0276397,Predicted
DDB_G0276525,Predicted
DDB_G0276565,Predicted
DDB_G0277067,Predicted
DDB_G0276983,Predicted
DDB_G0277069,Predicted
DDB_G0277715,Predicted
DDB_G0271952,Predicted
DDB_G0272548,Predicted
DDB_G0273345,Predicted
DDB_G0273347,Predicted
DDB_G0273759,Predicted
DDB_G0273761,Predicted
DDB_G0274721,Predicted
DDB_G0276011,Predicted
DDB_G0276209,Predicted
DDB_G0276195,Predicted
DDB_G0276495,Predicted
DDB_G0276975,Predicted
DDB_G0277297,Predicted
DDB_G0277285,Predicted
DDB_G0277281,Predicted
DDB_G0277363,Predicted
DDB_G0277365,Predicted
DDB_G0277517,Predicted
DDB_G0277519,Predicted
DDB_G0277711,Predicted
DDB_G0277713,Predicted
DDB_G0273327,Predicted
DDB_G0273329,Predicted
DDB_G0273877,Predicted
DDB_G0273879,Predicted
DDB_G0275943,Predicted
DDB_G0276981,Predicted
DDB_G0273325,Predicted
DDB_G0273881,Predicted
DDB_G0275941,Predicted
DDB_G0278897,Predicted
DDB_G0279019,Predicted
DDB_G0278691,Predicted
DDB_G0279021,Predicted
DDB_G0279895,Predicted
DDB_G0282703,Predicted
DDB_G0282907,Predicted
DDB_G0279127,Predicted
DDB_G0281247,Predicted
DDB_G0281355,Predicted
DDB_G0281357,Predicted
DDB_G0281529,Predicted
DDB_G0282659,Predicted
DDB_G0279075,Predicted
DDB_G0279055,Predicted
DDB_G0279077,Predicted
DDB_G0279153,Predicted
DDB_G0279495,Predicted
DDB_G0279595,Predicted
DDB_G0279691,Predicted
DDB_G0279861,Predicted
DDB_G0279929,Predicted
DDB_G0280031,Predicted
DDB_G0281539,Predicted
DDB_G0281491,Predicted
DDB_G0278641,Predicted
DDB_G0279389,Predicted
DDB_G0279391,Predicted
DDB_G0279233,Predicted
DDB_G0279867,Predicted
DDB_G0280365,Predicted
DDB_G0280523,Predicted
DDB_G0281579,Predicted
DDB_G0281941,Predicted
DDB_G0281943,Predicted
DDB_G0282051,Predicted
DDB_G0282405,Predicted
DDB_G0282507,Predicted
DDB_G0282509,Predicted
DDB_G0282543,Predicted
DDB_G0282561,Predicted
DDB_G0282797,Predicted
DDB_G0282799,Predicted
DDB_G0279771,Predicted
DDB_G0281455,Predicted
DDB_G0282541,Predicted
DDB_G0279773,Predicted
DDB_G0281451,Predicted
DDB_G0281453,Predicted
DDB_G0285583,Predicted
DDB_G0284215,Predicted
DDB_G0284439,Predicted
DDB_G0284507,Predicted
DDB_G0283079,Predicted
DDB_G0285091,Predicted
DDB_G0283321,Predicted
DDB_G0284305,Predicted
DDB_G0285305,Predicted
DDB_G0285315,Predicted
DDB_G0285317,Predicted
DDB_G0285325,Predicted
DDB_G0285547,Predicted
DDB_G0285795,Predicted
DDB_G0285835,Predicted
DDB_G0285841,Predicted
DDB_G0285951,Predicted
DDB_G0286497,Predicted
DDB_G0286547,Predicted
DDB_G0286823,Predicted
DDB_G0284445,Predicted
DDB_G0284609,Predicted
DDB_G0285097,Predicted
DDB_G0286017,Predicted
DDB_G0286019,Predicted
DDB_G0286097,Predicted
DDB_G0286987,Predicted
DDB_G0285035,Predicted
DDB_G0289279,Predicted
DDB_G0290241,Predicted
DDB_G0290447,Predicted
DDB_G0290713,Predicted
DDB_G0290749,Predicted
DDB_G0291067,Predicted
DDB_G0287453,Predicted
DDB_G0289677,Predicted
DDB_G0288505,Predicted
DDB_G0289071,Predicted
DDB_G0290129,Predicted
DDB_G0287409,Predicted
DDB_G0287421,Predicted
DDB_G0289387,Predicted
DDB_G0289441,Predicted
DDB_G0290375,Predicted
DDB_G0289107,Predicted
DDB_G0291069,Predicted
DDB_G0291215,Predicted
DDB_G0291219,Predicted
DDB_G0292436,Predicted
DDB_G0293804,Predicted
DDB_G0293432,Predicted
DDB_G0293452,Predicted
